sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
-0.1648222391,0.2452869206,0.9376001834,-0.1931545455,2.3928464773,-0.5794458434,0.0021137770,-0.5200244152,-0.0143243034,1.6208614636
0.0966177037,0.0745985855,0.2888151857,-0.0221827310,0.6746064878,2.3527615383,-0.0750368985,-0.0004947466,0.5395953573,-0.0357785659
-0.3832082417,0.7974545568,2.8951275729,0.1152983656,0.1205236998,0.1612164195,2.0223232653,-1.1769088044,-0.3079994996,0.1111804630
0.4674960181,0.3072688259,0.0524081613,1.4640420731,0.0719233957,0.6335988041,-0.0057246330,2.6758049189,-0.0373179828,1.2695111669
0.0003611919,-1.2556109699,0.3901537350,-0.0691738187,0.8892236094,-0.0813153204,0.5075077688,1.6536570968,-0.3331736646,3.9466443784
1.9559862164,4.0300849206,1.6503144769,-0.0150573361,0.6783947060,0.5388897971,2.9374140818,0.1999570592,0.6013966240,0.8195624682
-0.4148093305,2.9662968027,-0.9105790977,-0.1779962761,-0.1218227511,0.0360954971,1.4566477019,-0.4120552018,1.6993877181,-0.5581922274
0.0243044875,1.5955254722,-0.0006908376,0.1259877325,-0.0434220115,-0.0542410929,0.9439545853,0.8499315475,4.1798618510,-0.4554066512
-0.0228778573,0.1001128042,0.0093144892,0.3733756767,-0.1534548585,1.2194216509,2.2538819857,-0.1252215991,-0.0923086716,-0.1361533081
-0.2335009223,-3.2010674134,0.3439338763,0.2564874818,0.0199151816,0.4720062984,-0.0748084389,1.6235720982,-0.0159744547,0.6634543058
0.3245426049,0.1724798817,0.2103500711,-0.0245744654,-0.5792586964,0.0063002011,-0.4990741669,3.4469246108,-0.4138010020,-0.1312446094
-0.0640392656,2.9164115282,1.0920734263,1.5149880341,-1.6110051185,0.7754143369,1.0347607362,-0.2742267895,0.0141466634,-0.8924666297
0.2828893825,-1.3616683395,0.1006281671,0.5656903041,-1.2238351607,1.0596861463,1.4311370794,0.0045025670,1.3884119397,0.8696541598
0.0803454693,-0.8916161742,0.6014482559,0.7183753804,0.0528612204,-0.1766675894,-0.8013661435,-0.5527150716,-0.0211104715,-0.4558328163
-0.2231129376,0.4227191266,-0.0656006949,-0.1373977596,-0.0736981575,0.3762771526,1.2588358420,0.1693738092,4.4926971373,-0.7808047970
0.3850477649,-0.7711543793,0.1564517753,1.3703240322,0.2524768393,0.2444116355,0.0043159820,0.6289523873,0.3507329139,0.8548105404
-0.0106338294,0.0853802446,-0.9168992634,-0.1344261137,0.4050834990,0.1522640418,0.1459137237,-0.0804804372,1.2193369878,0.1110707805
-0.1062476399,-0.1211499663,0.3255406560,-0.1807170649,3.0958656156,-0.3622555693,-0.5910552156,0.1765119570,1.3239860090,-1.0483317138
-0.0108709465,1.4205799817,0.3659983658,0.1183873249,1.3192490711,1.3862999156,0.2851334123,0.1938779128,-0.0066148371,1.7310158578
-0.0864514742,-0.8585021096,-0.0263675345,0.1804359475,1.4448566914,0.4843190380,1.0382498477,-0.0073132316,0.1945236163,0.9607507708
-0.2013330601,0.1183302768,0.0053830388,0.0870513194,1.5741413612,-0.8309000831,-0.3166704706,0.3486295700,2.1704490720,0.1373118451
1.7071752185,-0.0542593428,0.6074076758,-0.7758817537,-0.0069929164,0.2469547274,2.0382921861,0.0278654646,0.3577097786,0.2192761170
-0.0267987863,-0.4233892206,0.0167052823,-0.0179084854,0.6585479733,0.0547983419,-0.4261521956,0.5353028071,1.6142811791,0.6114650726
2.7022976670,0.2270301897,-0.3923838128,1.1092737794,-0.0053014549,-0.8848143549,0.7419309531,-0.2149848801,0.3055325708,2.7864183243
1.4940399881,1.2009511347,0.0121085829,1.9896314735,0.4490809832,0.6504656130,0.0144864608,0.2644408433,0.1713469726,1.7127896404
-0.1263507575,3.4862692314,0.1882496414,1.0161596157,4.4985367083,0.0395603206,0.5065490749,-0.3002377833,0.0231378603,6.1986674594
-0.6230111015,1.8426734227,-0.3341270513,0.5986444608,-0.3650211784,3.4634575360,0.1037932141,0.4657261869,-0.0266059519,-0.9205957593
0.0904212663,0.3585552415,-0.2518974284,0.9474234473,0.4013892110,0.4266208918,0.2377073517,-0.1621610909,0.6721209722,-0.5937784507
0.1000176339,-0.4262804537,-0.2285386198,0.9225887588,-0.3236398131,0.5263590415,0.2471426904,0.1378984744,0.1976293679,-0.4758022266
2.4857541194,0.6388776549,0.0045232464,0.2087015925,-0.0907841778,0.1108182830,0.4079310321,0.2993839117,-0.0255395989,0.0959925249
