sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.6021672912,-0.1580552383,1.7655101093,-0.5349222607,3.0533496626,-0.0628927916,3.0367762802,8.8669474099,4.8217963274,4.3144907916
-0.4894336695,0.4278459178,-0.7202173279,1.6314067659,0.0261224623,2.7362194024,0.8888349054,2.4243487101,2.8150535914,-0.1465835649
1.7123838994,-0.0608771269,1.9255830606,0.3856505967,1.8956282134,2.2458076535,10.5685049213,0.5176298430,9.1541717479,-0.1085779096
0.0341595053,0.1507077827,0.8741226566,-0.2214253136,2.9275618851,0.8854560168,4.5678858125,8.8290620421,0.8894518925,6.0966030345
0.9163204848,0.6268836387,-0.2772975171,0.2542882430,-1.8093039522,0.9682201739,1.3483248173,0.2647987245,5.4135301794,3.4648850450
-0.1102326555,2.4539508755,-0.1380791526,-0.2951529705,-0.4252772162,1.1063431331,2.6689526732,3.7652524765,2.6425743416,-1.9340817947
-0.6292864054,1.4433660402,8.6758182216,-2.5763811843,3.0254060013,10.2456528107,2.8015656584,1.6382461994,5.1958174408,3.4646094311
-0.0132326719,-1.9907322119,1.9358162193,1.6016728221,0.9387338766,2.8018271645,2.1151033597,-0.8166068112,1.3787698597,4.8608000615
-0.2511606188,-0.3450538588,-0.7369144375,0.8481968636,-0.1880421272,3.0042956605,1.4069442165,2.6395259369,-1.1348445605,6.7232790047
0.0368786001,-0.0360060832,-1.4125077551,3.3998652558,2.0752783886,2.7682367970,1.2515970749,3.9493711272,2.0091856930,0.9867447588
0.4231332272,0.9329246309,0.4231883270,2.3312633849,1.0740966400,4.7544869888,-0.1188987950,1.0805335307,7.5649825097,2.8998261879
0.5239899113,1.2796335437,-0.1624910449,0.9036190615,1.5691520870,1.9382002084,0.7885658288,3.6634965038,3.2971887004,4.8312341975
-0.0562237647,0.9920227327,3.8013655654,-2.8187194647,0.1127064594,1.3865845295,8.7941945383,1.4570675887,0.6804334933,1.2919875835
1.3944146409,0.9445948329,-0.7573650909,1.2866848352,2.1307826203,0.0266111835,1.5745437755,4.6981231680,4.2007003147,0.6099569138
-0.0192019011,1.0442349412,0.0801916048,0.1902174141,1.0852129768,3.7286882602,1.7290415014,-2.1752629754,7.5400165555,5.3749917944
0.7425506797,2.1428046135,-0.6850860879,0.3693744089,5.1091292751,-1.3720631280,4.0942188006,5.9456366908,2.3472974304,1.5783524303
0.0339535303,1.1374102369,0.6980184079,2.4330605810,4.4955850603,3.5065525669,3.5344129113,0.9911884949,1.9707391204,9.1789281435
-0.0146354946,0.5286097981,3.7241045353,2.3532107099,2.6462313275,-1.1607846675,0.9559845113,0.4140448870,0.7839442560,8.2376690694
-0.3624186157,4.7272423053,0.0802706339,-1.8071550702,0.2160691211,4.4490536325,-0.1680933794,3.5234112639,16.0510827125,5.4908834666
0.1818783093,0.2644395586,1.5359991194,-0.0973381549,2.1650790915,0.2469294202,3.1729863420,3.4848934678,2.9186376195,5.9850133569
0.1937469082,-0.0797386906,0.4109464652,0.6534934097,1.8718486144,2.5334263481,2.5436716848,3.7947565863,1.9953996314,1.0498208349
1.4740393227,0.5028476031,-0.2296443006,-0.5876710494,1.1067350125,2.7598125158,1.1149768633,5.6444611439,5.3559821672,4.7849369548
0.1085219621,0.5260768014,-0.9389488838,2.7908795123,3.4116034350,5.4432906956,1.6423005545,8.1883325110,6.1498683041,6.9522066567
0.0534530394,-0.8905971203,1.7610642067,2.2086108275,0.4372791588,4.4405515871,2.8768721073,-1.7406688829,5.4487895800,9.0896828581
0.0899993172,1.2234705502,0.4010323126,2.0133480356,5.9894766377,1.3634538782,-1.6439097999,3.1318329428,4.5701583641,2.1601102585
-0.4045440502,1.5602613985,5.4004949797,4.3667444750,2.5096365458,2.2365349132,-1.9413343377,4.4919556278,6.2949681057,3.9238195081
-0.0595792180,0.6835981852,2.1189907019,2.9033896793,3.4785368131,3.5119129154,0.6963689847,5.2153277587,4.4770968688,0.4579332864
