temperature,N,cumulative_mean_exp_neg_sigma,ci_lower_2.5,ci_upper_97.5
3.0,2550,1.016307026128814,0.7799447432277705,1.3249122065483587
3.0,2560,1.0205501688629142,0.7933512275774413,1.3568585211026525
3.0,2570,1.027611060422541,0.8054293013837275,1.3464145347794072
3.0,2580,1.0255548538603532,0.8030173670212736,1.3436849785297589
3.0,2590,1.0226753566102587,0.7964565004382325,1.344187198439107
3.0,2600,1.0255065316812235,0.805120596806661,1.3426075912915783
3.0,2610,1.023299947848285,0.8108989830048311,1.3540604636813949
3.0,2620,1.0224924400744664,0.7982813142527116,1.3180950549782684
3.0,2630,1.0336542977990546,0.8084604469447341,1.3447510740157853
3.0,2640,1.0325404703817642,0.8052736283228923,1.3792063274380824
3.0,2650,1.029091980479634,0.8107820632294616,1.3417303236796783
3.0,2660,1.0327291824653746,0.8137980311855512,1.3448996517748133
3.0,2670,1.0312368035568802,0.8199508536596894,1.346457480318928
3.0,2680,1.0285035534823577,0.8089637911804322,1.3427758714030336
3.0,2690,1.0290758019312019,0.8048602982842199,1.3426640188230277
3.0,2700,1.0265111327908016,0.8000867960540029,1.3321269131250721
3.0,2710,1.0231145841755598,0.8066843459476529,1.3457840892979094
3.0,2720,1.0206121681624545,0.805600303795568,1.3190486498580116
3.0,2730,1.0187980149102591,0.8043670212810742,1.3394670046379609
3.0,2740,1.016400009682609,0.792412257714795,1.3431405580222728
3.0,2750,1.0142651851345825,0.8041527185017716,1.3244633619177397
3.0,2760,1.0116758124773806,0.804537687988535,1.2999018965789475
3.0,2770,1.0096415724303114,0.7863416781864061,1.3057052250010541
3.0,2780,1.0068013601387666,0.7944384298804008,1.2967708779672538
3.0,2790,1.0188039539546077,0.8006263235516758,1.3198111644848873
3.0,2800,1.0164012157418187,0.803040015062516,1.306996915225734
3.0,2810,1.0142766285817213,0.8033465621434941,1.29984054044905
3.0,2820,1.0139118630138226,0.8061818644158684,1.3255202391435557
3.0,2830,1.011492374102248,0.7993422851727923,1.3088821027805722
3.0,2840,1.0090636764820669,0.8014412530146744,1.3267071124308385
3.0,2850,1.006049769990738,0.7955776141637986,1.3026789075886824
3.0,2860,1.0076326014605648,0.7976766310175059,1.3011855026426045
3.0,2870,1.0094053303380757,0.8055610070249067,1.317743266091999
3.0,2880,1.0138943177705337,0.8071968948553605,1.3272035231077042
3.0,2890,1.0213725560941045,0.8110833360000642,1.3011720521785943
3.0,2900,1.0193367845420254,0.8148466745406481,1.3057836957204523
3.0,2910,1.0166243280690868,0.8137644636335253,1.3102515322699395
3.0,2920,1.0141605775541656,0.8099231514226247,1.308391904952966
3.0,2930,1.0122185106245158,0.8045173079673866,1.2929089624966845
3.0,2940,1.0341658006206353,0.8223451716438048,1.3121988541136602
3.0,2950,1.0344043362402233,0.8307573382677902,1.3243126738365893
3.0,2960,1.0312745221937571,0.8295885955017294,1.3270276910797958
3.0,2970,1.0299343161485437,0.8203184432132403,1.30720867638308
3.0,2980,1.030597777343847,0.8380136590641936,1.3246078126668777
3.0,2990,1.027639667038121,0.8247196933265221,1.3155266987302356
3.0,3000,1.0260033365260803,0.8260715211288344,1.317799144669764
3.0,3010,1.0228625262685167,0.8144144441421733,1.3075872182883062
3.0,3020,1.0205495887758413,0.8148115724548316,1.3050378526872854
3.0,3030,1.0421394702739357,0.8299628536293946,1.3231438244483908
3.0,3040,1.0554613131763468,0.8527681554986177,1.3598434727707134
3.0,3050,1.059556994203686,0.8605066658345601,1.3398812361741146
3.0,3060,1.0643611279801302,0.8530028539161482,1.3580027334027984
3.0,3070,1.061788241140142,0.8567887381798585,1.339489089516414
3.0,3080,1.0600739436653723,0.8598348327516387,1.3447848174688903
3.0,3090,1.0589836550311784,0.8563818351876499,1.3470738223809646
3.0,3100,1.0567482043912668,0.8517554088373431,1.336899297553065
3.0,3110,1.0602263026439642,0.8587951606342547,1.3383595878202734
3.0,3120,1.058823192952783,0.8561431920948861,1.322706412311843
3.0,3130,1.05756395167128,0.8534335268105101,1.3402567400487804
3.0,3140,1.0552623564328731,0.8490190415151617,1.3293724242823357
3.0,3150,1.059066905492127,0.8635978448252946,1.3232801544582815
3.0,3160,1.056346860324103,0.8536253005697138,1.3372378799969047
3.0,3170,1.0624498427382647,0.8494963461177012,1.3355064467350315
3.0,3180,1.0598303727477405,0.8568280874764443,1.3331206306463852
3.0,3190,1.0609378083160732,0.8542704555192984,1.3107482536590311
3.0,3200,1.0589927266876078,0.866339205540556,1.3323095723496305
3.0,3210,1.0593618687256865,0.8468830919309661,1.321491875590625
3.0,3220,1.0564569662958476,0.8608966561158473,1.352117774538788
3.0,3230,1.0537181553684567,0.8516321589583966,1.3349875472671822
3.0,3240,1.0535196522123111,0.8554564701567627,1.3148036624750865
3.0,3250,1.0512581211631782,0.8465352924307147,1.306670548724713
3.0,3260,1.0522188890637627,0.8580684905753461,1.2978585186558436
3.0,3270,1.0546107775984541,0.8580380419984507,1.3182999878482824
3.0,3280,1.0523168556240994,0.8595060462831269,1.3142990342796934
3.0,3290,1.0545175452748932,0.8584893507475493,1.3204247256757975
3.0,3300,1.056923143308466,0.8598624901892526,1.2980702073746384
3.0,3310,1.0552606355571368,0.8582798812102764,1.3339535414661434
3.0,3320,1.0533992409602504,0.8643311110903497,1.319601311077083
3.0,3330,1.0506775713484038,0.8556004166909568,1.300149486101379
3.0,3340,1.0495098372145548,0.8583979542401504,1.3070763212068097
3.0,3350,1.0468765512105362,0.8498898554280259,1.313146734218393
3.0,3360,1.0465022398891928,0.8552779370160368,1.2843606848558957
3.0,3370,1.0448623033810767,0.8477118601133009,1.3326625442128197
3.0,3380,1.0435184952991214,0.8634651198559388,1.3062013044352552
3.0,3390,1.041180701196816,0.8560088870883755,1.3148636106012277
3.0,3400,1.0395028805690703,0.8586146016814188,1.288163989470527
3.0,3410,1.0367386012476696,0.8517324078611944,1.286194513430516
3.0,3420,1.034757261257353,0.844408460070471,1.2988101253137736
3.0,3430,1.0328331371722916,0.8431594117126247,1.2814232107531374
3.0,3440,1.0356545015641168,0.847965583084732,1.2943557112079571
3.0,3450,1.0335688465215656,0.8462687614912172,1.2914310527204245
3.0,3460,1.031031995956871,0.8415991402926298,1.287313035216337
3.0,3470,1.031640425251478,0.8463724076332131,1.283861862748201
3.0,3480,1.0297187276332183,0.8513749249525949,1.2816642313211726
3.0,3490,1.0293752199467179,0.8444167585297278,1.269363502073831
3.0,3500,1.0365356967668933,0.8580123917469085,1.277737659554572
3.0,3510,1.0353205486929442,0.8566314881664796,1.2805743758479526
3.0,3520,1.0337817425978362,0.8430841415637059,1.2763632684891417
3.0,3530,1.0400816028443816,0.8577810309074427,1.2913527999468855
3.0,3540,1.0395051472808077,0.8577853760573029,1.2968636027594447
3.0,3550,1.0370732160998228,0.8549311639727561,1.2983555205339383
3.0,3560,1.0369447533986054,0.8561075959062071,1.2817431502641554
3.0,3570,1.0346865156268699,0.8563583077629333,1.2797125070524173
3.0,3580,1.0352788151285144,0.8488578937726126,1.2803464998528837
3.0,3590,1.0328167176214922,0.8461896337412932,1.2711987992774048
3.0,3600,1.0304974116543053,0.8553448366112024,1.2788093091492132
3.0,3610,1.0282181438722757,0.8482247680296952,1.2660231903765453
3.0,3620,1.0274733981291135,0.8444796333150191,1.276097392220274
3.0,3630,1.0251368400103715,0.8478748795339263,1.2517739983538123
3.0,3640,1.0240668000475277,0.8448252050823696,1.2724537169841652
3.0,3650,1.0284164579592918,0.8437035046463436,1.2659505025288837
3.0,3660,1.0276116334475676,0.8530040999998135,1.2600390445481924
3.0,3670,1.025177050816634,0.8568497664275414,1.277758317776377
